Make,Model,Year,Engine HP,Engine Cylinders,Transmission Type,Vehicle Size,Vehicle Style,city mpg,highway MPG,MSRP
honda,hr-v,2017,141.0,4.0,automatic,compact,4dr suv,27,31,21465
plymouth,breeze,1999,132.0,4.0,manual,midsize,sedan,23,33,2000
porsche,911,2017,420.0,6.0,manual,compact,convertible,20,28,115700
toyota,tacoma,2016,159.0,4.0,manual,compact,extended cab pickup,19,21,25185
cadillac,escalade esv,2017,420.0,8.0,automatic,large,4dr suv,15,22,95195
nissan,rogue,2016,170.0,4.0,automatic,midsize,4dr suv,26,33,28730
kia,sportage,2015,182.0,4.0,automatic,compact,4dr suv,19,26,26800
mercedes-benz,e-class,2016,577.0,8.0,automatic,midsize,sedan,15,22,101700
mitsubishi,diamante,2004,205.0,6.0,automatic,midsize,sedan,15,23,27619
mercedes-benz,gle-class,2017,550.0,8.0,automatic,midsize,4dr suv,13,17,101690
gmc,sierra 1500,2016,285.0,6.0,automatic,large,extended cab pickup,17,22,35370
mazda,3,2017,155.0,4.0,automatic,compact,4dr hatchback,28,37,22245
hyundai,elantra,2015,145.0,4.0,automatic,compact,sedan,28,38,18250
acura,rdx,2017,279.0,6.0,automatic,midsize,4dr suv,19,27,40770
volkswagen,jetta sportwagen,2013,170.0,5.0,manual,compact,wagon,23,33,20595
nissan,axxess,1990,138.0,4.0,automatic,compact,passenger minivan,16,20,2000
ford,taurus,2015,288.0,6.0,automatic,large,sedan,18,26,31335
bmw,x3,2016,240.0,4.0,automatic,midsize,4dr suv,21,28,38950
volkswagen,new beetle,2009,150.0,5.0,automatic,compact,convertible,20,28,26990
chevrolet,corvette,2017,455.0,8.0,manual,compact,convertible,16,25,69195
mazda,navajo,1993,160.0,6.0,manual,compact,2dr suv,16,21,2000
kia,sedona,2016,276.0,6.0,automatic,midsize,passenger minivan,18,24,32700
chevrolet,corvette,2015,650.0,8.0,manual,compact,coupe,15,22,87650
toyota,rav4,2015,176.0,4.0,automatic,midsize,4dr suv,22,29,29850
chevrolet,suburban,2016,355.0,8.0,automatic,large,4dr suv,15,22,52700
toyota,rav4 hybrid,2017,194.0,4.0,automatic,midsize,4dr suv,34,30,29030
ford,e-series van,2012,225.0,8.0,automatic,midsize,cargo van,13,17,26630
cadillac,catera,2000,200.0,6.0,automatic,midsize,sedan,16,23,2241
bentley,continental gt,2016,521.0,8.0,automatic,midsize,coupe,15,25,210700
honda,cr-v,2014,185.0,4.0,automatic,compact,4dr suv,23,31,23120
volvo,v70,2009,235.0,6.0,automatic,midsize,wagon,16,25,32900
chevrolet,sonic,2015,138.0,4.0,automatic,compact,sedan,25,33,21345
hyundai,equus,2015,429.0,8.0,automatic,large,sedan,15,23,68750
chevrolet,s-10,2003,120.0,4.0,manual,compact,extended cab pickup,19,25,18120
volkswagen,cabrio,2000,115.0,4.0,manual,compact,convertible,21,28,2473
bmw,z4,2016,300.0,6.0,automated_manual,compact,convertible,17,24,57500
ford,escape hybrid,2011,177.0,4.0,automatic,compact,4dr suv,30,27,32320
volkswagen,beetle,2015,210.0,4.0,automated_manual,compact,2dr hatchback,24,30,29775
infiniti,q50,2015,328.0,6.0,automatic,midsize,sedan,20,29,43650
hyundai,elantra,2015,145.0,4.0,automatic,compact,sedan,27,37,21700
toyota,highlander,2016,270.0,6.0,automatic,midsize,4dr suv,18,24,42375
volvo,s70,1999,190.0,5.0,automatic,midsize,sedan,18,25,2286
ford,windstar,2003,200.0,6.0,automatic,midsize,passenger minivan,16,22,27870
plymouth,voyager,1998,150.0,6.0,automatic,midsize,passenger minivan,17,24,2000
suzuki,sidekick,1998,95.0,4.0,manual,compact,4dr suv,20,24,2019
lincoln,mkc,2016,240.0,4.0,automatic,compact,4dr suv,19,26,39585
cadillac,cts,2017,268.0,4.0,automatic,large,sedan,22,30,45995
volkswagen,golf sportwagen,2016,170.0,4.0,automatic,compact,wagon,25,35,24995
mercedes-benz,cl-class,2013,536.0,8.0,automatic,large,coupe,15,22,153000
pontiac,sunfire,2004,140.0,4.0,manual,compact,coupe,23,33,14930
dodge,avenger,2013,283.0,6.0,automatic,midsize,sedan,19,29,25695
nissan,370z,2016,332.0,6.0,automatic,compact,coupe,19,26,38370
porsche,panamera,2015,310.0,6.0,automated_manual,large,sedan,18,27,82800
hyundai,santa fe sport,2015,264.0,4.0,automatic,midsize,4dr suv,19,27,31250
gmc,yukon hybrid,2012,332.0,8.0,automatic,large,4dr suv,20,23,60285
chevrolet,silverado 1500,2017,285.0,6.0,automatic,large,regular cab pickup,17,22,39280
kia,sorento,2017,290.0,6.0,automatic,midsize,4dr suv,18,25,30790
mitsubishi,eclipse,2011,162.0,4.0,automatic,compact,2dr hatchback,20,28,24699
chevrolet,traverse,2016,288.0,6.0,automatic,midsize,4dr suv,15,22,42145
aston martin,dbs,2012,510.0,12.0,automatic,midsize,convertible,12,18,296387
infiniti,g35,2007,306.0,6.0,automatic,midsize,sedan,17,24,31450
porsche,cayman,2015,340.0,6.0,manual,compact,coupe,19,26,75200
chevrolet,hhr,2009,155.0,4.0,automatic,compact,wagon,22,30,20720
honda,civic,2017,174.0,4.0,automatic,compact,4dr hatchback,31,40,22800
lexus,rc f,2017,467.0,8.0,automatic,midsize,coupe,16,25,64165
chevrolet,camaro,2016,455.0,8.0,manual,midsize,convertible,16,25,48300
aston martin,v8 vantage,2015,430.0,8.0,manual,compact,coupe,13,19,98200
honda,cr-v,2016,185.0,4.0,automatic,compact,4dr suv,25,31,25845
suzuki,aerio,2006,155.0,4.0,automatic,compact,sedan,22,28,14999
volkswagen,cc,2016,200.0,4.0,manual,midsize,sedan,21,32,31570
nissan,cube,2012,122.0,4.0,automatic,compact,wagon,27,31,18680
nissan,armada,2014,317.0,8.0,automatic,large,4dr suv,12,18,52860
ford,e-series wagon,2012,225.0,8.0,automatic,midsize,passenger van,13,16,31200
mercedes-benz,m-class,2013,402.0,8.0,automatic,midsize,4dr suv,14,20,58800
acura,slx,1997,190.0,6.0,automatic,midsize,4dr suv,13,17,2397
volkswagen,jetta,2015,150.0,4.0,manual,midsize,sedan,31,46,21640
buick,skylark,1996,150.0,4.0,automatic,midsize,coupe,19,29,2000
gmc,suburban,1997,255.0,8.0,automatic,large,4dr suv,12,17,2468
nissan,200sx,1997,115.0,4.0,manual,compact,coupe,25,35,2000
bmw,2 series,2016,240.0,4.0,automatic,compact,coupe,23,35,32850
chevrolet,camaro,2016,455.0,8.0,manual,midsize,convertible,16,25,43300
land rover,range rover sport,2014,510.0,8.0,automatic,midsize,4dr suv,14,19,92400
hyundai,tucson,2015,182.0,4.0,automatic,compact,4dr suv,20,25,27950
chevrolet,tracker,2003,127.0,4.0,manual,compact,convertible suv,20,23,19580
toyota,camry solara,2008,210.0,6.0,automatic,midsize,convertible,18,26,30710
dodge,challenger,2017,375.0,8.0,manual,large,coupe,15,23,39890
infiniti,g sedan,2012,218.0,6.0,automatic,midsize,sedan,20,29,33100
suzuki,xl7,2009,252.0,6.0,automatic,midsize,4dr suv,17,24,28580
scion,xb,2013,158.0,4.0,manual,compact,wagon,22,28,19210
cadillac,eldorado,2001,275.0,8.0,automatic,large,coupe,15,25,40436
toyota,venza,2014,268.0,6.0,automatic,midsize,wagon,19,26,29770
buick,regal,2016,259.0,4.0,automatic,midsize,sedan,19,27,34325
chevrolet,cavalier,2003,140.0,4.0,manual,compact,coupe,22,30,14030
hyundai,genesis,2015,311.0,6.0,automatic,large,sedan,18,29,38000
chevrolet,s-10 blazer,1993,165.0,6.0,manual,compact,2dr suv,15,20,2000
cadillac,cts,2016,268.0,4.0,automatic,large,sedan,21,31,56285
subaru,outback,2015,175.0,4.0,automatic,midsize,4dr suv,25,33,25195
audi,a3,2017,186.0,4.0,automated_manual,compact,sedan,26,35,34450
chevrolet,traverse,2016,281.0,6.0,automatic,midsize,4dr suv,15,22,31205
buick,rainier,2007,291.0,6.0,automatic,midsize,4dr suv,14,20,31550
hyundai,equus,2016,429.0,8.0,automatic,large,sedan,15,23,61500
toyota,previa,1996,161.0,4.0,automatic,compact,passenger minivan,16,20,2304
ford,focus,2015,160.0,4.0,automated_manual,compact,sedan,27,40,23170
acura,rlx,2016,310.0,6.0,automatic,midsize,sedan,20,31,54450
volkswagen,jetta gli,2013,200.0,4.0,manual,midsize,sedan,22,33,26195
chrysler,pacifica,2008,253.0,6.0,automatic,large,wagon,15,23,34150
ford,transit connect,2017,169.0,4.0,automatic,compact,passenger minivan,19,27,30215
dodge,durango,2015,290.0,6.0,automatic,large,4dr suv,18,25,30495
lexus,gs 400,2000,300.0,8.0,automatic,midsize,sedan,16,22,3965
land rover,range rover,2014,510.0,8.0,automatic,large,4dr suv,13,19,100100
honda,prelude,2001,200.0,4.0,manual,compact,coupe,20,25,23600
kia,forte,2017,147.0,4.0,manual,compact,sedan,25,34,16490
cadillac,escalade ext,2012,403.0,8.0,automatic,large,crew cab pickup,13,18,69640
dodge,shadow,1992,152.0,4.0,manual,compact,4dr hatchback,18,24,2000
gmc,sierra 1500,2015,355.0,8.0,automatic,large,crew cab pickup,16,23,49665
gmc,rally wagon,1994,155.0,6.0,automatic,compact,passenger van,14,17,2000
lincoln,continental,2017,305.0,6.0,automatic,large,sedan,17,26,47515
chrysler,200,2017,184.0,4.0,automatic,midsize,sedan,23,36,21995
honda,pilot,2017,280.0,6.0,automatic,midsize,4dr suv,19,27,33030
volkswagen,r32,2004,240.0,6.0,manual,compact,2dr hatchback,17,24,29100
bmw,3 series,2015,180.0,4.0,automatic,midsize,sedan,32,45,39000
honda,accord hybrid,2017,212.0,4.0,automatic,midsize,sedan,49,47,29605
bmw,4 series,2015,300.0,6.0,automatic,midsize,convertible,20,31,54900
lincoln,mkx,2016,303.0,6.0,automatic,midsize,4dr suv,17,26,41550
gmc,acadia,2017,194.0,4.0,automatic,midsize,4dr suv,21,25,34450
nissan,pathfinder,2017,284.0,6.0,automatic,large,4dr suv,20,27,42070
nissan,370z,2015,332.0,6.0,manual,compact,convertible,17,24,45270
chevrolet,silverado 1500,2017,285.0,6.0,automatic,large,extended cab pickup,17,22,42075
gmc,sierra 1500,2017,285.0,6.0,automatic,large,regular cab pickup,17,22,39160
cadillac,escalade esv,2015,420.0,8.0,automatic,large,4dr suv,15,22,79970
mercedes-benz,c-class,2017,241.0,4.0,automatic,midsize,sedan,24,31,43675
subaru,svx,1996,230.0,6.0,automatic,compact,coupe,15,22,2283
ford,freestar,2006,201.0,6.0,automatic,midsize,passenger minivan,15,21,26615
audi,a3,2015,150.0,4.0,automated_manual,compact,sedan,31,43,41050
subaru,loyale,1992,90.0,4.0,manual,compact,sedan,22,29,2000
gmc,canyon,2016,200.0,4.0,automatic,compact,extended cab pickup,20,27,27305
toyota,venza,2013,268.0,6.0,automatic,midsize,wagon,18,25,31120
land rover,range rover,2014,340.0,6.0,automatic,large,4dr suv,17,23,83300
infiniti,ex,2011,297.0,6.0,automatic,midsize,4dr suv,17,24,36600
oldsmobile,ninety-eight,1995,225.0,6.0,automatic,large,sedan,17,26,2000
toyota,highlander hybrid,2016,280.0,6.0,automatic,midsize,4dr suv,27,28,50485
pontiac,aztek,2003,185.0,6.0,automatic,midsize,4dr suv,16,22,23820
porsche,cayenne,2017,300.0,6.0,automatic,midsize,4dr suv,18,24,59600
volkswagen,passat,2015,170.0,4.0,automatic,midsize,sedan,24,36,24375
volkswagen,golf r,2016,292.0,4.0,manual,compact,4dr hatchback,22,31,35650
nissan,frontier,2015,152.0,4.0,manual,compact,extended cab pickup,19,23,21970
subaru,forester,2016,170.0,4.0,automatic,midsize,4dr suv,24,32,28795
hummer,h3t,2010,239.0,5.0,automatic,compact,crew cab pickup,14,18,36355
kia,rio,2015,138.0,4.0,manual,compact,sedan,27,37,13990
honda,passport,2002,205.0,6.0,manual,midsize,4dr suv,15,19,23300
buick,lacrosse,2017,310.0,6.0,automatic,large,sedan,21,31,36065
toyota,avalon,2016,268.0,6.0,automatic,midsize,sedan,21,31,40450
bmw,x6,2015,445.0,8.0,automatic,midsize,4dr suv,15,22,72900
land rover,discovery sport,2016,240.0,4.0,automatic,midsize,4dr suv,20,26,45955
aston martin,db7,2003,420.0,12.0,manual,compact,coupe,10,17,141800
chrysler,pacifica,2008,253.0,6.0,automatic,large,wagon,14,22,36195
pontiac,grand am,2003,175.0,6.0,automatic,midsize,sedan,18,27,21690
chrysler,imperial,1993,150.0,6.0,automatic,large,sedan,17,24,2000
hyundai,accent,2016,137.0,4.0,manual,compact,4dr hatchback,27,38,14995
hyundai,santa fe,2016,290.0,6.0,automatic,midsize,4dr suv,18,24,36250
toyota,camry solara,2006,157.0,4.0,manual,midsize,coupe,21,30,21025
nissan,stanza,1990,138.0,4.0,manual,compact,sedan,19,26,2000
honda,odyssey,2016,248.0,6.0,automatic,large,passenger minivan,19,28,38050
toyota,camry solara,2006,157.0,4.0,automatic,midsize,coupe,20,30,20360
porsche,911,2016,400.0,6.0,manual,compact,convertible,18,26,117530
cadillac,ats coupe,2016,335.0,6.0,automatic,compact,coupe,19,28,50675
chevrolet,hhr,2011,155.0,4.0,manual,compact,wagon,22,32,18720
ford,fiesta,2017,197.0,4.0,manual,compact,4dr hatchback,26,32,21610
ford,e-250,1996,145.0,6.0,automatic,midsize,cargo van,11,13,2000
gmc,sierra 1500,2017,285.0,6.0,automatic,large,crew cab pickup,17,22,39870
ferrari,456m,2003,442.0,12.0,manual,compact,coupe,9,15,224585
dodge,ramcharger,1992,230.0,8.0,automatic,midsize,2dr suv,11,15,2000
bmw,z4,2014,240.0,4.0,manual,compact,convertible,22,34,48950
suzuki,sx4,2011,150.0,4.0,manual,compact,sedan,23,32,16479
scion,fr-s,2015,200.0,4.0,manual,compact,coupe,22,30,24900
saab,9-5,2011,220.0,4.0,automatic,large,sedan,18,28,43435
chevrolet,cruze limited,2016,138.0,4.0,manual,midsize,sedan,28,42,20195
kia,sedona,2015,276.0,6.0,automatic,midsize,passenger minivan,18,25,36300
kia,sportage,2017,181.0,4.0,automatic,compact,4dr suv,21,25,24490
dodge,dart,2016,160.0,4.0,manual,midsize,sedan,25,36,19595
oldsmobile,toronado,1991,170.0,6.0,automatic,large,coupe,16,24,2000
maserati,granturismo convertible,2015,444.0,8.0,automatic,midsize,convertible,13,20,145740
volkswagen,gti,2013,200.0,4.0,automated_manual,compact,2dr hatchback,24,33,25300
dodge,journey,2016,283.0,6.0,automatic,midsize,4dr suv,16,24,28395
toyota,mr2,1994,135.0,4.0,manual,compact,coupe,19,26,2000
cadillac,escalade esv,2015,420.0,8.0,automatic,large,4dr suv,14,20,85795
subaru,b9 tribeca,2007,245.0,6.0,automatic,midsize,4dr suv,16,21,37295
gmc,sierra 1500 classic,2007,285.0,8.0,automatic,large,extended cab pickup,14,18,27580
honda,crosstour,2015,192.0,4.0,automatic,midsize,4dr hatchback,22,31,33315
gmc,envoy,2007,291.0,6.0,automatic,midsize,4dr suv,14,20,28950
chevrolet,corvette,2016,460.0,8.0,manual,compact,coupe,17,29,60400
gmc,sierra 1500,2016,285.0,6.0,automatic,large,regular cab pickup,18,24,34465
audi,rs 5,2014,450.0,8.0,automated_manual,midsize,convertible,16,22,77900
acura,mdx,2017,290.0,6.0,automatic,midsize,4dr suv,18,26,45950
chevrolet,traverse,2017,281.0,6.0,automatic,midsize,4dr suv,15,22,36100
ford,fusion,2017,231.0,4.0,automatic,midsize,sedan,20,29,38620
ford,f-150 heritage,2004,202.0,6.0,manual,large,regular cab pickup,13,18,22985
ford,ltd crown victoria,1991,150.0,8.0,automatic,large,sedan,15,22,2000
ford,aspire,1995,63.0,4.0,manual,compact,2dr hatchback,31,38,2000
mazda,navajo,1992,155.0,6.0,manual,compact,2dr suv,15,20,2000
mitsubishi,outlander sport,2017,148.0,4.0,automatic,compact,4dr suv,24,30,20995
aston martin,rapide,2012,470.0,12.0,automatic,large,sedan,13,19,226850
chevrolet,monte carlo,2006,242.0,6.0,automatic,midsize,coupe,18,26,24930
chevrolet,express,2016,285.0,8.0,automatic,large,passenger van,11,16,37500
chevrolet,black diamond avalanche,2013,320.0,8.0,automatic,large,crew cab pickup,15,21,44580
chevrolet,trailblazer,2008,285.0,6.0,automatic,midsize,4dr suv,14,20,33945
dodge,journey,2017,283.0,6.0,automatic,midsize,4dr suv,16,24,29795
pontiac,torrent,2009,264.0,6.0,automatic,compact,4dr suv,17,24,29420
suzuki,xl7,2007,252.0,6.0,automatic,midsize,4dr suv,16,21,27549
toyota,camry,2015,178.0,4.0,automatic,midsize,sedan,25,35,26150
aston martin,v8 vantage,2016,430.0,8.0,manual,compact,coupe,13,19,121295
plymouth,neon,2000,132.0,4.0,manual,compact,sedan,24,31,2044
volkswagen,golf gti,2015,220.0,4.0,manual,compact,2dr hatchback,25,34,29280
infiniti,qx50,2015,325.0,6.0,automatic,midsize,4dr suv,17,24,36400
infiniti,ex,2012,297.0,6.0,automatic,midsize,4dr suv,17,24,37200
dodge,ram 50 pickup,1991,143.0,6.0,manual,compact,extended cab pickup,15,20,2000
chevrolet,venture,2003,185.0,6.0,automatic,midsize,cargo minivan,17,24,22440
ford,bronco,1995,205.0,8.0,manual,midsize,2dr suv,12,16,2474
chevrolet,sonic,2016,138.0,4.0,automatic,compact,4dr hatchback,25,33,21495
chevrolet,silverado 1500,2015,355.0,8.0,automatic,large,crew cab pickup,16,22,50850
gmc,acadia,2015,281.0,6.0,automatic,midsize,4dr suv,17,24,33975
fiat,500,2015,101.0,4.0,manual,compact,2dr hatchback,31,40,18700
cadillac,srx,2016,308.0,6.0,automatic,midsize,4dr suv,16,23,48840
mitsubishi,galant,2010,160.0,4.0,automatic,midsize,sedan,21,30,21599
toyota,sienna,2016,266.0,6.0,automatic,large,passenger minivan,16,23,34180
lamborghini,gallardo,2014,550.0,10.0,automated_manual,compact,convertible,12,20,209500
mercedes-benz,s-class,2017,577.0,8.0,automatic,large,sedan,15,23,144700
kia,forte,2017,147.0,4.0,automatic,compact,sedan,29,38,19200
ford,freestyle,2006,203.0,6.0,automatic,large,wagon,17,22,28355
volkswagen,beetle convertible,2015,170.0,4.0,automatic,compact,convertible,24,32,30425
chevrolet,traverse,2017,281.0,6.0,automatic,midsize,4dr suv,15,22,38650
honda,civic,2015,205.0,4.0,manual,compact,coupe,22,31,24590
ford,fusion hybrid,2016,188.0,4.0,automatic,midsize,sedan,44,41,26480
gmc,safari cargo,2003,190.0,6.0,automatic,large,cargo minivan,14,18,24450
nissan,armada,2014,317.0,8.0,automatic,large,4dr suv,13,19,42680
bmw,7 series,2017,445.0,8.0,automatic,large,sedan,16,25,97600
kia,rondo,2008,182.0,6.0,automatic,compact,wagon,18,26,18895
dodge,ram pickup 1500,2008,215.0,6.0,manual,large,regular cab pickup,16,19,22150
honda,element,2009,166.0,4.0,automatic,compact,4dr suv,19,24,23585
chevrolet,silverado 1500 classic,2007,295.0,8.0,automatic,large,extended cab pickup,14,19,30755
mercedes-benz,r-class,2010,268.0,6.0,automatic,large,wagon,14,19,49300
ford,f-150 heritage,2004,202.0,6.0,manual,large,regular cab pickup,13,18,23830
chevrolet,captiva sport,2015,180.0,4.0,automatic,midsize,4dr suv,20,28,25155
gmc,sierra 1500,2015,285.0,6.0,automatic,large,regular cab pickup,18,24,26670
aston martin,v12 vanquish,2005,520.0,12.0,automated_manual,compact,coupe,10,16,255000
gmc,yukon,2017,420.0,8.0,automatic,large,4dr suv,15,22,65965
gmc,sierra 1500,2017,355.0,8.0,automatic,large,crew cab pickup,15,20,55605
ford,tempo,1992,140.0,6.0,manual,compact,sedan,19,26,2000
mitsubishi,lancer,2016,168.0,4.0,automatic,compact,sedan,23,31,21995
cadillac,srx,2014,308.0,6.0,automatic,midsize,4dr suv,17,24,45255
cadillac,ats coupe,2015,272.0,4.0,automatic,compact,coupe,20,29,40445
cadillac,escalade esv,2015,420.0,8.0,automatic,large,4dr suv,15,21,74695
hyundai,santa fe,2015,290.0,6.0,automatic,midsize,4dr suv,18,25,34250
scion,fr-s,2014,200.0,4.0,automatic,compact,coupe,25,34,28500
mazda,b-series pickup,1998,119.0,4.0,manual,compact,regular cab pickup,19,24,2432
cadillac,escalade ext,2011,403.0,8.0,automatic,large,crew cab pickup,13,18,67350
cadillac,escalade esv,2017,420.0,8.0,automatic,large,4dr suv,15,20,97795
buick,electra,1990,165.0,6.0,automatic,midsize,sedan,16,25,2000
saab,900,1997,185.0,4.0,manual,compact,4dr hatchback,18,25,2000
infiniti,q50,2015,328.0,6.0,automatic,midsize,sedan,19,27,38950
infiniti,ex35,2010,297.0,6.0,automatic,midsize,4dr suv,16,23,35200
toyota,sienna,2017,296.0,6.0,automatic,large,passenger minivan,19,27,46170
dodge,ram 150,1991,125.0,6.0,unknown,large,regular cab pickup,12,17,2000
toyota,tacoma,2016,278.0,6.0,manual,compact,crew cab pickup,17,20,32460
honda,crosstour,2014,278.0,6.0,automatic,midsize,4dr hatchback,19,28,37240
chevrolet,colorado,2016,305.0,6.0,automatic,compact,crew cab pickup,18,26,26510
mercedes-benz,g-class,2015,536.0,8.0,automatic,midsize,4dr suv,12,14,137100
chevrolet,silverado 1500,2015,355.0,8.0,automatic,large,extended cab pickup,16,22,43450
hyundai,santa fe sport,2015,264.0,4.0,automatic,midsize,4dr suv,18,24,33000
bmw,m6,2017,560.0,8.0,automated_manual,midsize,coupe,14,20,113700
dodge,ram 250,1992,180.0,6.0,manual,large,regular cab pickup,13,17,2000
volkswagen,beetle,2015,170.0,4.0,manual,compact,2dr hatchback,24,33,25885
chevrolet,silverado 1500,2016,355.0,8.0,automatic,large,crew cab pickup,16,22,41890
gmc,savana cargo,2016,285.0,8.0,automatic,midsize,cargo van,11,16,33915
chevrolet,corvette,2017,460.0,8.0,manual,compact,convertible,16,25,64450
ford,f-150,2015,325.0,6.0,automatic,large,crew cab pickup,19,26,41670
gmc,sierra 1500 hybrid,2011,332.0,8.0,automatic,large,crew cab pickup,20,23,39095
land rover,range rover,2015,340.0,6.0,automatic,large,4dr suv,17,23,83495
volkswagen,golf gti,2016,220.0,4.0,automated_manual,compact,2dr hatchback,25,33,30620
lincoln,mark lt,2007,300.0,8.0,automatic,large,crew cab pickup,12,16,41525
toyota,tundra,2017,381.0,8.0,automatic,large,extended cab pickup,13,17,34340
kia,optima,2016,178.0,4.0,automated_manual,midsize,sedan,28,39,24140
mazda,6,2015,184.0,4.0,manual,midsize,sedan,25,37,21190
chevrolet,malibu classic,2008,145.0,4.0,automatic,midsize,sedan,22,30,17935
gmc,sierra 1500 classic,2007,295.0,8.0,automatic,large,extended cab pickup,13,17,30550
honda,element,2010,166.0,4.0,automatic,compact,4dr suv,20,25,22635
ford,f-250,1997,220.0,8.0,manual,large,regular cab pickup,12,17,2862
honda,accord,2015,185.0,4.0,automatic,midsize,sedan,27,36,30195
nissan,juke,2017,188.0,4.0,automatic,compact,4dr hatchback,28,32,20250
suzuki,equator,2012,261.0,6.0,automatic,compact,crew cab pickup,15,19,29550
mercedes-benz,190-class,1991,130.0,4.0,manual,compact,sedan,18,26,2000
chevrolet,blazer,2004,190.0,6.0,manual,compact,2dr suv,14,19,21055
ford,e-250,1996,145.0,6.0,automatic,midsize,cargo van,11,13,2000
mercedes-benz,e-class,2015,302.0,6.0,automatic,midsize,wagon,20,27,59000
toyota,tundra,2017,381.0,8.0,automatic,large,crew cab pickup,13,17,50030
cadillac,escalade,2017,420.0,8.0,automatic,large,4dr suv,15,20,94795
ford,f-150 heritage,2004,231.0,8.0,automatic,large,extended cab pickup,13,17,26460
infiniti,q70,2016,330.0,6.0,automatic,large,sedan,18,24,53500
bmw,4 series,2015,240.0,4.0,automatic,midsize,coupe,22,33,42750
bmw,x5 m,2015,567.0,8.0,automatic,midsize,4dr suv,14,19,98700
ford,taurus,2016,288.0,6.0,automatic,large,sedan,18,27,29540
hyundai,tiburon,2008,172.0,6.0,automatic,compact,2dr hatchback,17,24,22770
nissan,xterra,2015,261.0,6.0,automatic,midsize,4dr suv,16,22,23660
kia,rondo,2009,192.0,6.0,automatic,compact,wagon,18,26,22295
toyota,land cruiser,2016,381.0,8.0,automatic,midsize,4dr suv,13,18,83825
ford,transit connect,2017,169.0,4.0,automatic,compact,passenger minivan,19,27,25585
buick,lucerne,2011,227.0,6.0,automatic,large,sedan,17,27,33130
porsche,carrera gt,2005,605.0,10.0,manual,compact,convertible,9,15,440000
mitsubishi,eclipse,2011,265.0,6.0,automatic,compact,2dr hatchback,17,25,29089
mazda,cx-9,2014,273.0,6.0,automatic,large,4dr suv,16,22,34070
chevrolet,uplander,2006,201.0,6.0,automatic,midsize,passenger minivan,16,23,26250
chevrolet,corvette,2016,460.0,8.0,manual,compact,convertible,17,29,74145
kia,forte,2015,173.0,4.0,manual,compact,coupe,24,33,18590
gmc,jimmy,2001,190.0,6.0,automatic,compact,2dr suv,14,18,25170
land rover,discovery,2003,217.0,8.0,automatic,midsize,4dr suv,11,14,38350
mclaren,650s spider,2015,641.0,8.0,automated_manual,compact,convertible,16,22,280225
infiniti,qx60,2016,265.0,6.0,automatic,large,4dr suv,19,26,44400
lexus,is 350 c,2014,306.0,6.0,automatic,compact,convertible,19,27,47140
dodge,challenger,2016,485.0,8.0,manual,large,coupe,14,23,37995
pontiac,le mans,1993,74.0,4.0,manual,compact,coupe,24,34,2000
mitsubishi,lancer sportback,2012,168.0,4.0,automatic,compact,4dr hatchback,22,29,21345
ferrari,575m,2003,515.0,12.0,automated_manual,compact,coupe,9,16,228339
volkswagen,beetle,2016,170.0,4.0,manual,compact,2dr hatchback,24,34,21350
gmc,terrain,2017,182.0,4.0,automatic,compact,4dr suv,20,28,32670
dodge,avenger,2014,173.0,4.0,automatic,midsize,sedan,21,29,20595
chevrolet,traverse,2015,281.0,6.0,automatic,midsize,4dr suv,16,23,38295
chevrolet,sonic,2016,138.0,4.0,automatic,compact,sedan,24,35,17545
bentley,mulsanne,2014,505.0,8.0,automatic,large,sedan,11,18,298900
volvo,780,1990,144.0,6.0,automatic,midsize,coupe,15,19,2000
nissan,altima hybrid,2009,198.0,4.0,automatic,midsize,sedan,35,33,26650
volvo,s70,1998,168.0,5.0,manual,midsize,sedan,17,27,2000
gmc,canyon,2015,305.0,6.0,automatic,compact,crew cab pickup,18,26,33420
toyota,yaris,2016,106.0,4.0,automatic,compact,4dr hatchback,30,36,17670
kia,cadenza,2016,293.0,6.0,automatic,midsize,sedan,19,28,44090
gmc,envoy xl,2005,275.0,6.0,automatic,large,4dr suv,12,17,36060
mazda,3,2017,155.0,4.0,manual,midsize,sedan,27,37,17845
gmc,envoy,2008,285.0,6.0,automatic,midsize,4dr suv,14,20,34020
fiat,500,2015,160.0,4.0,manual,compact,convertible,28,34,26595
gmc,sonoma,2003,120.0,4.0,manual,compact,extended cab pickup,19,25,16570
ford,escape,2016,178.0,4.0,automatic,compact,4dr suv,22,29,31745
chevrolet,corvette,2017,460.0,8.0,manual,compact,convertible,16,25,74195
mazda,b-series pickup,1999,160.0,6.0,manual,compact,regular cab pickup,16,20,2870
honda,element,2009,166.0,4.0,automatic,compact,4dr suv,19,24,21475
infiniti,m,2013,360.0,6.0,automatic,large,sedan,27,32,54750
bmw,z4,2016,335.0,6.0,automated_manual,compact,convertible,17,24,66350
toyota,tercel,1998,93.0,4.0,manual,compact,coupe,27,35,2148
volkswagen,jetta gli,2014,210.0,4.0,automated_manual,midsize,sedan,24,32,29955
hyundai,azera,2017,293.0,6.0,automatic,midsize,sedan,19,28,39300
mazda,3,2015,155.0,4.0,automatic,compact,4dr hatchback,30,40,24295
infiniti,q50,2016,400.0,6.0,automatic,midsize,sedan,20,26,47950
mercedes-benz,clk-class,2008,382.0,8.0,automatic,compact,convertible,15,21,63200
nissan,titan,2014,317.0,8.0,automatic,large,extended cab pickup,12,17,32210
